"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ORILLIA BRAIN","44.603","-79.439","ON","7.8","0",NA,"25.5","0","-2.5","0","13.0","0",NA,"123.0","0",NA,"0.0","11","","",NA,"306.2","0.5","6115811"
"PARRY SOUND CCG","45.344","-80.044","ON","6.5","1",NA,"27.1","1","-3.5","0","",,NA,"125.7","1",NA,"","13","",,NA,"332.5","0.0","6116257"
"SHANTY BAY","44.399","-79.633","ON","8.0","0","2.2","25.5","0","-2.5","0","7.0","0","61.0","122.0","0","188.0","0.0","12","","",NA,"301.8","0.5","6117684"
"BARRIE-ORO","44.483","-79.550","ON","7.2","0",NA,"25.4","0","-3.3","0","",,NA,"108.1","0",NA,"","11","",,NA,"324.3","0.0","6117700"
"SPRUCEDALE","45.425","-79.488","ON","",,NA,"",,"",,"17.4","0",NA,"238.4","0",NA,"0.0","14","","",NA,"","","6117981"
"THORNBURY 3","44.551","-80.468","ON","",,NA,"",,"",,"8.0","0",NA,"141.0","0",NA,"0.0","15","","",NA,"","","6118240"
"UDORA","44.263","-79.161","ON","8.4","0","2.7","26.5","0","-4.0","0","6.0","0","66.0","114.0","0","168.0","0.0","13","","",NA,"288.7","1.3","6119055"
"WIARTON A","44.744","-81.109","ON","6.9","0",NA,"27.2","0","-3.8","0","26.2","0",NA,"155.2","0",NA,"","13","",,NA,"332.6","0.0","6119499"
"WESTERN ISLAND (AUT)","45.033","-80.367","ON","5.8","2",NA,"22.8","2","-1.2","0","",,NA,"",,NA,"","","",,NA,"341.2","0.0","6119M51"
"BORDEN AWOS","44.272","-79.912","ON","7.2","1",NA,"27.2","1","-7.6","0","",,NA,"88.5","1",NA,"","13","",,NA,"311.9","0.0","611B002"
"EGBERT CS","44.233","-79.783","ON","7.9","1",NA,"25.9","1","-3.5","0","",,NA,"106.7","1",NA,"","12","",,NA,"293.1","0.0","611E001"
"COVE ISLAND (AUT)","45.333","-81.733","ON","4.9","4",NA,"17.1","3","-1.4","2","",,NA,"",,NA,"","","",,NA,"341.8","0.0","61219J2"
"GODERICH","43.767","-81.717","ON","8.3","0",NA,"26.1","0","-1.7","0","",,NA,"84.7","0",NA,"","9","",,NA,"291.9","0.0","6122847"
"KINCARDINE","44.173","-81.623","ON","8.9","13",NA,"23.0","13","-2.0","13","18.2","13",NA,"133.8","13",NA,"","9","","",NA,"155.3","0.0","6124127"
"SARNIA","42.999","-82.309","ON","9.6","12",NA,"24.9","12","-1.1","12","",,NA,"65.7","12",NA,"","8","",,NA,"151.1","0.0","6127510"
"SARNIA CLIMATE","43.000","-82.300","ON","9.3","1",NA,"28.2","1","-1.3","0","",,NA,"80.5","1",NA,"","10","",,NA,"251.0","0.0","6127519"
